dc_bus,model,max_replicas,max_gpus,hosting_capacity_kw,hosting_capacity_MW,search_iterations
850,Qwen3-30B-A3B,1613,3226,4516.4,4.5164,9
850,Qwen3-235B-A22B,395,3160,4424.0,4.424,7
852,Llama-3.1-8B,1352,1352,1892.8,1.8928,11
852,Llama-3.1-70B,366,1464,2049.6,2.0496,8
852,Llama-3.1-405B,182,1456,2038.4,2.0384,8
852,Qwen3-30B-A3B,780,1560,2184.0,2.184,9
852,Qwen3-235B-A22B,194,1552,2172.8,2.1728,7
852r,Llama-3.1-8B,1342,1342,1878.8,1.8788,11
852r,Llama-3.1-70B,348,1392,1948.8,1.9487999999999999,8
852r,Llama-3.1-405B,177,1416,1982.4,1.9824000000000002,7
852r,Qwen3-30B-A3B,753,1506,2108.4,2.1084,9
852r,Qwen3-235B-A22B,189,1512,2116.8,2.1168,8
854,Llama-3.1-8B,1966,1966,2752.4,2.7524,10
854,Llama-3.1-70B,526,2104,2945.6,2.9455999999999998,8
854,Llama-3.1-405B,263,2104,2945.6,2.9455999999999998,7
854,Qwen3-30B-A3B,1128,2256,3158.4,3.1584,9
854,Qwen3-235B-A22B,281,2248,3147.2,3.1471999999999998,7
858,Llama-3.1-8B,1264,1264,1769.6,1.7695999999999998,11
858,Llama-3.1-70B,348,1392,1948.8,1.9487999999999999,8
858,Llama-3.1-405B,177,1416,1982.4,1.9824000000000002,7
858,Qwen3-30B-A3B,753,1506,2108.4,2.1084,9
858,Qwen3-235B-A22B,184,1472,2060.8,2.0608,7
860,Llama-3.1-8B,1340,1340,1876.0,1.876,10
860,Llama-3.1-70B,346,1384,1937.6,1.9376,9
860,Llama-3.1-405B,177,1416,1982.4,1.9824000000000002,7
860,Qwen3-30B-A3B,749,1498,2097.2,2.0972,9
860,Qwen3-235B-A22B,184,1472,2060.8,2.0608,7
862,Llama-3.1-8B,1340,1340,1876.0,1.876,10
862,Llama-3.1-70B,346,1384,1937.6,1.9376,9
862,Llama-3.1-405B,177,1416,1982.4,1.9824000000000002,7
862,Qwen3-30B-A3B,749,1498,2097.2,2.0972,9
862,Qwen3-235B-A22B,184,1472,2060.8,2.0608,7
