param_name,violation_time_s,integral_violation_pu_s,worst_vmin,worst_vmax,wall_time_s,avg_power_kw_per_phase__upstream,avg_batch__Llama-3.1-405B,n_batch_changes__Llama-3.1-405B,itl_violation_frac__Llama-3.1-405B,avg_throughput_tokens_per_s__Llama-3.1-405B,avg_batch__Llama-3.1-70B,n_batch_changes__Llama-3.1-70B,itl_violation_frac__Llama-3.1-70B,avg_throughput_tokens_per_s__Llama-3.1-70B,avg_batch__Llama-3.1-8B,n_batch_changes__Llama-3.1-8B,itl_violation_frac__Llama-3.1-8B,avg_throughput_tokens_per_s__Llama-3.1-8B,avg_power_kw_per_phase__downstream,avg_batch__Qwen3-235B-A22B,n_batch_changes__Qwen3-235B-A22B,itl_violation_frac__Qwen3-235B-A22B,avg_throughput_tokens_per_s__Qwen3-235B-A22B,avg_batch__Qwen3-30B-A3B,n_batch_changes__Qwen3-30B-A3B,itl_violation_frac__Qwen3-30B-A3B,avg_throughput_tokens_per_s__Qwen3-30B-A3B,param_value__upstream,param_value__downstream
voltage_dual_step_size,7.799999999992906,0.006362149370368606,0.9489448359979924,1.0504924314988606,13.862677400000393,574.1887019872808,205.61422222222222,3,0.18991666666666668,214840.7001249237,374.10488888888887,7,0.03916666666666667,961949.6655982427,491.82933333333335,2,0.0,7459761.52631311,464.66669520490944,165.6631111111111,6,0.0,868621.7998977805,287.3475555555556,8,0.0,2883088.582450267,10.0,100.0
voltage_dual_step_size,26.899999999975535,0.045146492954402866,0.9474444039042874,1.0505842094558564,13.486170099997253,535.9294148403218,160.65733333333333,10,0.17441666666666666,162545.26931001784,259.2551111111111,10,0.034083333333333334,641318.5018604645,358.5226666666667,13,0.0,5939421.042769465,482.842713248948,157.53511111111112,8,0.0,824882.1053254318,352.7111111111111,10,0.0,3554627.230506024,20.0,4.0
voltage_dual_step_size,25.29999999997699,0.03820896737205689,0.9476958748937182,1.0506979002160206,13.510568900004728,539.3626402860656,160.57733333333334,12,0.17441666666666666,162358.50378731286,276.0417777777778,12,0.03966666666666667,656864.4006978272,367.8982222222222,13,0.0,6251696.440190857,481.3688988159146,161.04222222222222,9,0.0,843167.8677395456,346.81111111111113,12,0.0,3470992.9213195615,20.0,10.0
voltage_dual_step_size,26.699999999975716,0.023396178910826237,0.9476849329656579,1.0507424426329046,13.855310200000531,546.4307952166824,160.64444444444445,9,0.17441666666666666,162142.54171057307,276.29955555555557,10,0.03994444444444444,649211.1023763897,477.7493333333333,5,0.0,7418309.097770279,476.9592935418312,157.15333333333334,12,0.0,824892.997664517,347.21644444444445,13,0.0,3468753.288775615,20.0,20.0
voltage_dual_step_size,12.59999999998854,0.010538302974298083,0.9487856854410884,1.0509331435620248,13.580289400000765,546.4752413514506,161.6408888888889,4,0.17441666666666666,162551.29558600858,277.10977777777777,7,0.04038888888888889,647342.5336376965,496.27377777777775,2,0.0,7476558.055351171,478.10722469357296,160.6822222222222,10,0.0,842512.7197423537,366.94044444444444,15,0.0,3717165.999085391,20.0,40.0
voltage_dual_step_size,22.399999999979627,0.020999551104524592,0.9484394416047986,1.051036779334622,13.80418759999884,545.588793213678,158.88977777777777,7,0.17441666666666666,161096.23077944628,248.50088888888888,10,0.030194444444444444,633232.2067254207,493.07377777777776,2,0.0,7466601.476881927,471.7244132424441,171.74977777777778,16,0.0,898382.0164560173,295.67822222222225,18,0.0,2985700.3372810846,20.0,100.0
voltage_dual_step_size,31.999999999970896,0.04821802647450146,0.9474444039042874,1.0505427657790103,14.294028100004653,536.2090160491958,167.87511111111112,77,0.19027777777777777,179993.78517087287,279.6906666666667,7,0.041527777777777775,638468.0344566638,373.6093333333333,13,0.0,6049087.626147887,479.0026775626895,155.78044444444444,7,0.0,817159.0591256416,349.95733333333334,16,0.0,3503317.774220655,40.0,4.0
voltage_dual_step_size,18.199999999983447,0.033442580757477657,0.9481968033639626,1.0507099293541873,14.38464109999768,535.0415808968617,166.72844444444445,76,0.19027777777777777,177903.35018481704,278.89155555555556,6,0.041527777777777775,632897.8581255556,365.656,12,0.0,5970405.84186553,483.2143139803519,156.40177777777777,9,0.0,819952.9864898893,390.69155555555557,12,0.0,3885753.8220642013,40.0,10.0
voltage_dual_step_size,29.099999999973534,0.09429625101565806,0.9423103917826708,1.0529080392071861,13.817783400001645,537.5789053364397,172.81511111111112,61,0.19411111111111112,179687.24214228647,270.69733333333335,17,0.03727777777777778,658723.4003407524,376.07155555555556,13,0.0,6091607.631886788,483.84774679724046,218.48755555555556,8,0.0,1128703.9709956208,344.96222222222224,12,0.0,3381329.18190073,40.0,20.0
voltage_dual_step_size,18.599999999983083,0.017896088020820114,0.9486396389667392,1.0508931900120781,14.378026600003068,546.6919170353652,172.46488888888888,58,0.1939722222222222,179002.04070547156,270.00044444444444,12,0.03727777777777778,653263.0959974551,503.02933333333334,4,0.0,7497716.145673064,479.38382328436035,162.532,12,0.0,851600.3998407739,425.09155555555554,14,0.0,4128609.4062864874,40.0,40.0
