dc_bus,model,max_replicas,max_gpus,hosting_capacity_kw,hosting_capacity_MW,search_iterations
151,Qwen3-30B-A3B,624,1248,1747.2,1.7472,9
151,Qwen3-235B-A22B,159,1272,1780.8,1.7808,7
152,Llama-3.1-8B,5157,5157,7219.8,7.2198,9
152,Llama-3.1-70B,1308,5232,7324.8,7.3248,7
152,Llama-3.1-405B,700,5600,7840.0,7.84,6
152,Qwen3-30B-A3B,3083,6166,8632.4,8.6324,7
152,Qwen3-235B-A22B,704,5632,7884.8,7.8848,5
160,Llama-3.1-8B,1798,1798,2517.2,2.5172,10
160,Llama-3.1-70B,505,2020,2828.0,2.828,8
160,Llama-3.1-405B,242,1936,2710.4,2.7104,7
160,Qwen3-30B-A3B,1091,2182,3054.8,3.0548,9
160,Qwen3-235B-A22B,270,2160,3024.0,3.024,7
18,Llama-3.1-8B,3001,3001,4201.4,4.2014,10
18,Llama-3.1-70B,737,2948,4127.2,4.1272,8
18,Llama-3.1-405B,360,2880,4032.0,4.032,7
18,Qwen3-30B-A3B,1714,3428,4799.2,4.7992,9
18,Qwen3-235B-A22B,423,3384,4737.6,4.7376000000000005,7
197,Llama-3.1-8B,1789,1789,2504.6,2.5046,10
197,Llama-3.1-70B,487,1948,2727.2,2.7272,8
197,Llama-3.1-405B,239,1912,2676.8,2.6768,7
197,Qwen3-30B-A3B,1056,2112,2956.8,2.9568000000000003,9
197,Qwen3-235B-A22B,267,2136,2990.4,2.9904,7
21,Llama-3.1-8B,2643,2643,3700.2,3.7001999999999997,10
21,Llama-3.1-70B,723,2892,4048.8,4.0488,8
21,Llama-3.1-405B,350,2800,3920.0,3.92,7
21,Qwen3-30B-A3B,1547,3094,4331.6,4.331600000000001,9
21,Qwen3-235B-A22B,388,3104,4345.6,4.3456,7
23,Llama-3.1-8B,2553,2553,3574.2,3.5742,10
23,Llama-3.1-70B,695,2780,3892.0,3.892,8
23,Llama-3.1-405B,341,2728,3819.2,3.8192,7
23,Qwen3-30B-A3B,1488,2976,4166.4,4.166399999999999,9
23,Qwen3-235B-A22B,371,2968,4155.2,4.1552,7
25,Llama-3.1-8B,2375,2375,3325.0,3.325,10
25,Llama-3.1-70B,647,2588,3623.2,3.6231999999999998,8
25,Llama-3.1-405B,316,2528,3539.2,3.5391999999999997,7
25,Qwen3-30B-A3B,1379,2758,3861.2,3.8611999999999997,9
25,Qwen3-235B-A22B,346,2768,3875.2,3.8752,7
250,Llama-3.1-8B,1674,1674,2343.6,2.3436,11
250,Llama-3.1-70B,456,1824,2553.6,2.5536,8
250,Llama-3.1-405B,222,1776,2486.4,2.4864,7
250,Qwen3-30B-A3B,1056,2112,2956.8,2.9568000000000003,9
250,Qwen3-235B-A22B,246,1968,2755.2,2.7552,7
28,Llama-3.1-8B,2254,2254,3155.6,3.1555999999999997,10
28,Llama-3.1-70B,616,2464,3449.6,3.4495999999999998,8
28,Llama-3.1-405B,302,2416,3382.4,3.3824,7
28,Qwen3-30B-A3B,1317,2634,3687.6,3.6875999999999998,9
28,Qwen3-235B-A22B,330,2640,3696.0,3.696,7
29,Llama-3.1-8B,2039,2039,2854.6,2.8546,10
29,Llama-3.1-70B,561,2244,3141.6,3.1416,8
29,Llama-3.1-405B,274,2192,3068.8,3.0688,7
29,Qwen3-30B-A3B,1205,2410,3374.0,3.374,9
29,Qwen3-235B-A22B,302,2416,3382.4,3.3824,7
30,Llama-3.1-8B,1726,1726,2416.4,2.4164,10
30,Llama-3.1-70B,473,1892,2648.8,2.6488,8
30,Llama-3.1-405B,229,1832,2564.8,2.5648,7
30,Qwen3-30B-A3B,1056,2112,2956.8,2.9568000000000003,9
30,Qwen3-235B-A22B,253,2024,2833.6,2.8336,7
300,Llama-3.1-8B,1580,1580,2212.0,2.212,10
300,Llama-3.1-70B,463,1852,2592.8,2.5928,8
300,Llama-3.1-405B,208,1664,2329.6,2.3296,7
300,Qwen3-30B-A3B,1007,2014,2819.6,2.8196,9
300,Qwen3-235B-A22B,242,1936,2710.4,2.7104,7
35,Llama-3.1-8B,2235,2235,3129.0,3.129,10
35,Llama-3.1-70B,612,2448,3427.2,3.4272,8
35,Llama-3.1-405B,298,2384,3337.6,3.3376,7
35,Qwen3-30B-A3B,1317,2634,3687.6,3.6875999999999998,9
35,Qwen3-235B-A22B,330,2640,3696.0,3.696,7
40,Llama-3.1-8B,1750,1750,2450.0,2.45,10
40,Llama-3.1-70B,540,2160,3024.0,3.024,8
40,Llama-3.1-405B,267,2136,2990.4,2.9904,7
40,Qwen3-30B-A3B,1174,2348,3287.2,3.2872,9
40,Qwen3-235B-A22B,275,2200,3080.0,3.08,7
42,Llama-3.1-8B,1582,1582,2214.8,2.2148000000000003,10
42,Llama-3.1-70B,432,1728,2419.2,2.4192,8
42,Llama-3.1-405B,208,1664,2329.6,2.3296,7
42,Qwen3-30B-A3B,926,1852,2592.8,2.5928,9
42,Qwen3-235B-A22B,232,1856,2598.4,2.5984000000000003,7
44,Llama-3.1-8B,1485,1485,2079.0,2.079,10
44,Llama-3.1-70B,404,1616,2262.4,2.2624,8
44,Llama-3.1-405B,198,1584,2217.6,2.2176,7
44,Qwen3-30B-A3B,868,1736,2430.4,2.4304,9
44,Qwen3-235B-A22B,219,1752,2452.8,2.4528000000000003,7
450,Llama-3.1-8B,1680,1680,2352.0,2.352,10
450,Llama-3.1-70B,473,1892,2648.8,2.6488,8
450,Llama-3.1-405B,208,1664,2329.6,2.3296,7
450,Qwen3-30B-A3B,1007,2014,2819.6,2.8196,9
450,Qwen3-235B-A22B,253,2024,2833.6,2.8336,7
47,Llama-3.1-8B,1380,1380,1932.0,1.932,10
47,Llama-3.1-70B,376,1504,2105.6,2.1056,8
47,Llama-3.1-405B,184,1472,2060.8,2.0608,7
47,Qwen3-30B-A3B,815,1630,2282.0,2.282,9
47,Qwen3-235B-A22B,205,1640,2296.0,2.296,7
48,Llama-3.1-8B,1370,1370,1918.0,1.918,10
48,Llama-3.1-70B,376,1504,2105.6,2.1056,8
48,Llama-3.1-405B,184,1472,2060.8,2.0608,7
48,Qwen3-30B-A3B,808,1616,2262.4,2.2624,9
48,Qwen3-235B-A22B,201,1608,2251.2,2.2512,7
49,Llama-3.1-8B,1318,1318,1845.2,1.8452,10
49,Llama-3.1-70B,359,1436,2010.4,2.0104,8
49,Llama-3.1-405B,177,1416,1982.4,1.9824000000000002,7
49,Qwen3-30B-A3B,780,1560,2184.0,2.184,9
49,Qwen3-235B-A22B,194,1552,2172.8,2.1728,7
50,Llama-3.1-8B,1269,1269,1776.6,1.7766,10
50,Llama-3.1-70B,348,1392,1948.8,1.9487999999999999,8
50,Llama-3.1-405B,166,1328,1859.2,1.8592,7
50,Qwen3-30B-A3B,742,1484,2077.6,2.0776,9
50,Qwen3-235B-A22B,184,1472,2060.8,2.0608,7
51,Llama-3.1-8B,1178,1178,1649.2,1.6492,10
51,Llama-3.1-70B,327,1308,1831.2,1.8312,8
51,Llama-3.1-405B,159,1272,1780.8,1.7808,7
51,Qwen3-30B-A3B,707,1414,1979.6,1.9795999999999998,9
51,Qwen3-235B-A22B,177,1416,1982.4,1.9824000000000002,7
52,Llama-3.1-8B,3545,3545,4963.0,4.963,10
52,Llama-3.1-70B,971,3884,5437.6,5.437600000000001,8
52,Llama-3.1-405B,471,3768,5275.2,5.2752,7
52,Qwen3-30B-A3B,2075,4150,5810.0,5.81,8
52,Qwen3-235B-A22B,520,4160,5824.0,5.824,6
53,Llama-3.1-8B,3116,3116,4362.4,4.3624,10
53,Llama-3.1-70B,853,3412,4776.8,4.776800000000001,8
53,Llama-3.1-405B,416,3328,4659.2,4.6592,7
53,Qwen3-30B-A3B,1825,3650,5110.0,5.11,9
53,Qwen3-235B-A22B,457,3656,5118.4,5.118399999999999,7
54,Llama-3.1-8B,2900,2900,4060.0,4.06,10
54,Llama-3.1-70B,790,3160,4424.0,4.424,8
54,Llama-3.1-405B,385,3080,4312.0,4.312,7
54,Qwen3-30B-A3B,1704,3408,4771.2,4.771199999999999,9
54,Qwen3-235B-A22B,423,3384,4737.6,4.7376000000000005,7
55,Llama-3.1-8B,2844,2844,3981.6,3.9816,10
55,Llama-3.1-70B,779,3116,4362.4,4.3624,8
55,Llama-3.1-405B,378,3024,4233.6,4.2336,7
55,Qwen3-30B-A3B,1672,3344,4681.6,4.6816,9
55,Qwen3-235B-A22B,420,3360,4704.0,4.704,7
56,Llama-3.1-8B,2788,2788,3903.2,3.9032,10
56,Llama-3.1-70B,765,3060,4284.0,4.284,8
56,Llama-3.1-405B,371,2968,4155.2,4.1552,7
56,Qwen3-30B-A3B,1644,3288,4603.2,4.6032,9
56,Qwen3-235B-A22B,413,3304,4625.6,4.6256,7
57,Llama-3.1-8B,2474,2474,3463.6,3.4636,10
57,Llama-3.1-70B,678,2712,3796.8,3.7968,8
57,Llama-3.1-405B,330,2640,3696.0,3.696,7
57,Qwen3-30B-A3B,1456,2912,4076.8,4.0768,9
57,Qwen3-235B-A22B,364,2912,4076.8,4.0768,7
60,Llama-3.1-8B,1798,1798,2517.2,2.5172,10
60,Llama-3.1-70B,505,2020,2828.0,2.828,8
60,Llama-3.1-405B,242,1936,2710.4,2.7104,7
60,Qwen3-30B-A3B,1091,2182,3054.8,3.0548,9
60,Qwen3-235B-A22B,270,2160,3024.0,3.024,7
61,Llama-3.1-8B,1680,1680,2352.0,2.352,10
61,Llama-3.1-70B,459,1836,2570.4,2.5704000000000002,8
61,Llama-3.1-405B,222,1776,2486.4,2.4864,7
61,Qwen3-30B-A3B,996,1992,2788.8,2.7888,9
61,Qwen3-235B-A22B,246,1968,2755.2,2.7552,7
62,Llama-3.1-8B,1510,1510,2114.0,2.114,10
62,Llama-3.1-70B,415,1660,2324.0,2.324,8
62,Llama-3.1-405B,201,1608,2251.2,2.2512,7
62,Qwen3-30B-A3B,885,1770,2478.0,2.478,9
62,Qwen3-235B-A22B,222,1776,2486.4,2.4864,7
63,Llama-3.1-8B,1391,1391,1947.4,1.9474,10
63,Llama-3.1-70B,383,1532,2144.8,2.1448,8
63,Llama-3.1-405B,187,1496,2094.4,2.0944000000000003,7
63,Qwen3-30B-A3B,822,1644,2301.6,2.3016,9
63,Qwen3-235B-A22B,205,1640,2296.0,2.296,7
64,Llama-3.1-8B,1053,1053,1474.2,1.4742,10
64,Llama-3.1-70B,285,1140,1596.0,1.596,8
64,Llama-3.1-405B,138,1104,1545.6,1.5455999999999999,7
64,Qwen3-30B-A3B,624,1248,1747.2,1.7472,9
64,Qwen3-235B-A22B,156,1248,1747.2,1.7472,7
65,Llama-3.1-8B,862,862,1206.8,1.2067999999999999,11
65,Llama-3.1-70B,240,960,1344.0,1.344,9
65,Llama-3.1-405B,115,920,1288.0,1.288,8
65,Qwen3-30B-A3B,526,1052,1472.8,1.4727999999999999,9
65,Qwen3-235B-A22B,131,1048,1467.2,1.4672,7
66,Llama-3.1-8B,702,702,982.8,0.9828,11
66,Llama-3.1-70B,192,768,1075.2,1.0752000000000002,9
66,Llama-3.1-405B,93,744,1041.6,1.0415999999999999,8
66,Qwen3-30B-A3B,408,816,1142.4,1.1424,10
66,Qwen3-235B-A22B,101,808,1131.2,1.1312,8
67,Llama-3.1-8B,1792,1792,2508.8,2.5088000000000004,10
67,Llama-3.1-70B,498,1992,2788.8,2.7888,8
67,Llama-3.1-405B,222,1776,2486.4,2.4864,7
67,Qwen3-30B-A3B,1066,2132,2984.8,2.9848000000000003,9
67,Qwen3-235B-A22B,267,2136,2990.4,2.9904,7
7,Llama-3.1-8B,7138,7138,9993.2,9.9932,0
7,Llama-3.1-70B,1781,7124,9973.6,9.973600000000001,0
7,Llama-3.1-405B,888,7104,9945.6,9.9456,0
7,Qwen3-30B-A3B,3567,7134,9987.6,9.9876,0
7,Qwen3-235B-A22B,888,7104,9945.6,9.9456,0
72,Llama-3.1-8B,1775,1775,2485.0,2.485,10
72,Llama-3.1-70B,487,1948,2727.2,2.7272,8
72,Llama-3.1-405B,239,1912,2676.8,2.6768,7
72,Qwen3-30B-A3B,1056,2112,2956.8,2.9568000000000003,9
72,Qwen3-235B-A22B,267,2136,2990.4,2.9904,7
76,Llama-3.1-8B,1775,1775,2485.0,2.485,10
76,Llama-3.1-70B,487,1948,2727.2,2.7272,8
76,Llama-3.1-405B,222,1776,2486.4,2.4864,7
76,Qwen3-30B-A3B,1045,2090,2926.0,2.926,9
76,Qwen3-235B-A22B,263,2104,2945.6,2.9455999999999998,7
77,Llama-3.1-8B,1775,1775,2485.0,2.485,10
77,Llama-3.1-70B,484,1936,2710.4,2.7104,8
77,Llama-3.1-405B,222,1776,2486.4,2.4864,7
77,Qwen3-30B-A3B,1042,2084,2917.6,2.9175999999999997,9
77,Qwen3-235B-A22B,260,2080,2912.0,2.912,7
78,Llama-3.1-8B,1757,1757,2459.8,2.4598,10
78,Llama-3.1-70B,446,1784,2497.6,2.4976,8
78,Llama-3.1-405B,215,1720,2408.0,2.408,7
78,Qwen3-30B-A3B,1042,2084,2917.6,2.9175999999999997,9
78,Qwen3-235B-A22B,260,2080,2912.0,2.912,7
79,Llama-3.1-8B,1750,1750,2450.0,2.45,10
79,Llama-3.1-70B,477,1908,2671.2,2.6712,8
79,Llama-3.1-405B,222,1776,2486.4,2.4864,7
79,Qwen3-30B-A3B,1039,2078,2909.2,2.9092,9
79,Qwen3-235B-A22B,260,2080,2912.0,2.912,7
8,Llama-3.1-8B,7023,7023,9832.2,9.8322,5
8,Llama-3.1-70B,1774,7096,9934.4,9.9344,1
8,Llama-3.1-405B,888,7104,9945.6,9.9456,0
8,Qwen3-30B-A3B,3567,7134,9987.6,9.9876,0
8,Qwen3-235B-A22B,888,7104,9945.6,9.9456,0
80,Llama-3.1-8B,1750,1750,2450.0,2.45,10
80,Llama-3.1-70B,477,1908,2671.2,2.6712,8
80,Llama-3.1-405B,222,1776,2486.4,2.4864,7
80,Qwen3-30B-A3B,1031,2062,2886.8,2.8868,9
80,Qwen3-235B-A22B,256,2048,2867.2,2.8672,7
81,Llama-3.1-8B,1750,1750,2450.0,2.45,10
81,Llama-3.1-70B,480,1920,2688.0,2.688,8
81,Llama-3.1-405B,222,1776,2486.4,2.4864,7
81,Qwen3-30B-A3B,1031,2062,2886.8,2.8868,9
81,Qwen3-235B-A22B,256,2048,2867.2,2.8672,7
82,Llama-3.1-8B,1719,1719,2406.6,2.4066,10
82,Llama-3.1-70B,480,1920,2688.0,2.688,8
82,Llama-3.1-405B,222,1776,2486.4,2.4864,7
82,Qwen3-30B-A3B,1024,2048,2867.2,2.8672,9
82,Qwen3-235B-A22B,256,2048,2867.2,2.8672,7
83,Llama-3.1-8B,1726,1726,2416.4,2.4164,10
83,Llama-3.1-70B,473,1892,2648.8,2.6488,8
83,Llama-3.1-405B,222,1776,2486.4,2.4864,7
83,Qwen3-30B-A3B,1024,2048,2867.2,2.8672,9
83,Qwen3-235B-A22B,253,2024,2833.6,2.8336,7
86,Llama-3.1-8B,1750,1750,2450.0,2.45,10
86,Llama-3.1-70B,477,1908,2671.2,2.6712,8
86,Llama-3.1-405B,222,1776,2486.4,2.4864,7
86,Qwen3-30B-A3B,1031,2062,2886.8,2.8868,9
86,Qwen3-235B-A22B,256,2048,2867.2,2.8672,7
87,Llama-3.1-8B,1726,1726,2416.4,2.4164,10
87,Llama-3.1-70B,473,1892,2648.8,2.6488,8
87,Llama-3.1-405B,222,1776,2486.4,2.4864,7
87,Qwen3-30B-A3B,1024,2048,2867.2,2.8672,9
87,Qwen3-235B-A22B,253,2024,2833.6,2.8336,7
89,Llama-3.1-8B,1726,1726,2416.4,2.4164,10
89,Llama-3.1-70B,473,1892,2648.8,2.6488,8
89,Llama-3.1-405B,208,1664,2329.6,2.3296,7
89,Qwen3-30B-A3B,1017,2034,2847.6,2.8476,9
89,Qwen3-235B-A22B,253,2024,2833.6,2.8336,7
91,Llama-3.1-8B,1708,1708,2391.2,2.3912,10
91,Llama-3.1-70B,473,1892,2648.8,2.6488,8
91,Llama-3.1-405B,226,1808,2531.2,2.5311999999999997,7
91,Qwen3-30B-A3B,1010,2020,2828.0,2.828,9
91,Qwen3-235B-A22B,253,2024,2833.6,2.8336,7
93,Llama-3.1-8B,1580,1580,2212.0,2.212,10
93,Llama-3.1-70B,463,1852,2592.8,2.5928,8
93,Llama-3.1-405B,226,1808,2531.2,2.5311999999999997,7
93,Qwen3-30B-A3B,1007,2014,2819.6,2.8196,9
93,Qwen3-235B-A22B,242,1936,2710.4,2.7104,7
95,Llama-3.1-8B,1580,1580,2212.0,2.212,10
95,Llama-3.1-70B,450,1800,2520.0,2.52,8
95,Llama-3.1-405B,226,1808,2531.2,2.5311999999999997,7
95,Qwen3-30B-A3B,1007,2014,2819.6,2.8196,9
95,Qwen3-235B-A22B,242,1936,2710.4,2.7104,7
97,Llama-3.1-8B,1789,1789,2504.6,2.5046,10
97,Llama-3.1-70B,487,1948,2727.2,2.7272,8
97,Llama-3.1-405B,239,1912,2676.8,2.6768,7
97,Qwen3-30B-A3B,1056,2112,2956.8,2.9568000000000003,9
97,Qwen3-235B-A22B,267,2136,2990.4,2.9904,7
98,Llama-3.1-8B,1775,1775,2485.0,2.485,10
98,Llama-3.1-70B,491,1964,2749.6,2.7496,8
98,Llama-3.1-405B,239,1912,2676.8,2.6768,7
98,Qwen3-30B-A3B,1045,2090,2926.0,2.926,9
98,Qwen3-235B-A22B,263,2104,2945.6,2.9455999999999998,7
99,Llama-3.1-8B,1750,1750,2450.0,2.45,10
99,Llama-3.1-70B,446,1784,2497.6,2.4976,8
99,Llama-3.1-405B,215,1720,2408.0,2.408,7
99,Qwen3-30B-A3B,1042,2084,2917.6,2.9175999999999997,9
99,Qwen3-235B-A22B,256,2048,2867.2,2.8672,7
