param_name,param_value,violation_time_s,integral_violation_pu_s,worst_vmin,worst_vmax,wall_time_s,avg_power_kw_per_phase__z1_sw,avg_batch__Llama-3.1-8B,n_batch_changes__Llama-3.1-8B,itl_violation_frac__Llama-3.1-8B,avg_throughput_tokens_per_s__Llama-3.1-8B,avg_power_kw_per_phase__z2_nw,avg_batch__Qwen3-30B-A3B,n_batch_changes__Qwen3-30B-A3B,itl_violation_frac__Qwen3-30B-A3B,avg_throughput_tokens_per_s__Qwen3-30B-A3B,avg_power_kw_per_phase__z3_se,avg_batch__Llama-3.1-405B,n_batch_changes__Llama-3.1-405B,itl_violation_frac__Llama-3.1-405B,avg_throughput_tokens_per_s__Llama-3.1-405B,avg_batch__Llama-3.1-70B,n_batch_changes__Llama-3.1-70B,itl_violation_frac__Llama-3.1-70B,avg_throughput_tokens_per_s__Llama-3.1-70B,avg_power_kw_per_phase__z4_ne,avg_batch__Qwen3-235B-A22B,n_batch_changes__Qwen3-235B-A22B,itl_violation_frac__Qwen3-235B-A22B,avg_throughput_tokens_per_s__Qwen3-235B-A22B
latency_dual_step_size,0.1,2630.5999999976075,30.0679294360123,0.9413756203931013,1.0504067510915047,32.3966128999964,329.5146372597039,8.603333333333333,4,0.0,133897.08189814657,283.8338996200813,8.70111111111111,4,0.0,70340.80939040231,350.8604274392231,8.13,4,0.0,8397.409496207094,8.285555555555556,4,0.0,14621.23047817907,376.71319410528906,8.363333333333333,4,0.0,22290.82324633377
latency_dual_step_size,1.0,2630.5999999976075,30.0679294360123,0.9413756203931013,1.0504067510915047,29.72504900000058,329.5146372597039,8.603333333333333,4,0.0,133897.08189814657,283.8338996200813,8.70111111111111,4,0.0,70340.80939040231,350.8604274392231,8.13,4,0.0,8397.409496207094,8.285555555555556,4,0.0,14621.23047817907,376.71319410528906,8.363333333333333,4,0.0,22290.82324633377
latency_dual_step_size,10.0,2630.5999999976075,30.0679294360123,0.9413756203931013,1.0504067510915047,27.947200599999633,329.5146372597039,8.603333333333333,4,0.0,133897.08189814657,283.8338996200813,8.70111111111111,4,0.0,70340.80939040231,350.8604274392231,8.13,4,0.0,8397.409496207094,8.285555555555556,4,0.0,14621.23047817907,376.71319410528906,8.363333333333333,4,0.0,22290.82324633377
latency_dual_step_size,50.0,2630.5999999976075,30.0679294360123,0.9413756203931013,1.0504067510915047,29.143860600001062,329.5146372597039,8.603333333333333,4,0.0,133897.08189814657,283.8338996200813,8.70111111111111,4,0.0,70340.80939040231,350.8604274392231,8.13,4,0.0,8397.409496207094,8.285555555555556,4,0.0,14621.23047817907,376.71319410528906,8.363333333333333,4,0.0,22290.82324633377
latency_dual_step_size,100.0,2630.5999999976075,30.0679294360123,0.9413756203931013,1.0504067510915047,28.852574500000628,329.5146372597039,8.603333333333333,4,0.0,133897.08189814657,283.8338996200813,8.70111111111111,4,0.0,70340.80939040231,350.8604274392231,8.13,4,0.0,8397.409496207094,8.285555555555556,4,0.0,14621.23047817907,376.71319410528906,8.363333333333333,4,0.0,22290.82324633377
w_throughput,0.0,2630.5999999976075,30.067580700323088,0.9413756203931013,1.0504067510915047,29.14003600000433,329.5146372597039,8.603333333333333,4,0.0,133897.08189814657,283.83343674682953,8.696666666666667,4,0.0,70326.56521271497,350.8604274392231,8.13,4,0.0,8397.409496207094,8.285555555555556,4,0.0,14621.23047817907,376.71319410528906,8.363333333333333,4,0.0,22290.82324633377
w_throughput,0.0001,2630.5999999976075,30.067580700323088,0.9413756203931013,1.0504067510915047,28.893173299999034,329.5146372597039,8.603333333333333,4,0.0,133897.08189814657,283.83343674682953,8.696666666666667,4,0.0,70326.56521271497,350.8604274392231,8.13,4,0.0,8397.409496207094,8.285555555555556,4,0.0,14621.23047817907,376.71319410528906,8.363333333333333,4,0.0,22290.82324633377
w_throughput,0.0005,2630.5999999976075,30.067580700323088,0.9413756203931013,1.0504067510915047,37.63437290000002,329.5146372597039,8.603333333333333,4,0.0,133897.08189814657,283.83343674682953,8.696666666666667,4,0.0,70326.56521271497,350.8604274392231,8.13,4,0.0,8397.409496207094,8.285555555555556,4,0.0,14621.23047817907,376.71319410528906,8.363333333333333,4,0.0,22290.82324633377
w_throughput,0.001,2630.5999999976075,30.0679294360123,0.9413756203931013,1.0504067510915047,28.519864300003974,329.5146372597039,8.603333333333333,4,0.0,133897.08189814657,283.8338996200813,8.70111111111111,4,0.0,70340.80939040231,350.8604274392231,8.13,4,0.0,8397.409496207094,8.285555555555556,4,0.0,14621.23047817907,376.71319410528906,8.363333333333333,4,0.0,22290.82324633377
w_throughput,0.005,2647.499999997592,30.087719692809205,0.9413756203931013,1.0504067510915047,30.012689499999397,329.6034030380551,9.29888888888889,6,0.0,142512.04594391826,283.98171276867834,9.312222222222223,6,0.0,73217.20364349247,350.8604274392231,8.13,4,0.0,8397.409496207094,8.285555555555556,4,0.0,14621.23047817907,377.24098235095687,9.12111111111111,6,0.0,23572.69462083804
